time,true count,true count unique id (max id),"constant pd=0.95, 1 SP","constant pd=0.7, 1 SP","constant pd=0.95, 2 SP","constant pd=0.95, 2 SP, unique id (max id)",dynamic pd,dynamic pd unique id (max id)
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,1,1,1,1,1,1,0,1
22,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1
37,1,1,0,1,0,0,1,1
38,2,2,1,2,1,1,2,2
39,2,2,1,1,1,1,2,2
40,2,2,1,1,1,1,2,2
41,2,2,1,1,1,1,2,2
42,2,2,1,1,1,1,2,2
43,2,2,1,1,1,1,2,2
44,2,2,1,1,1,1,2,2
45,2,2,1,1,2,3,2,2
46,2,2,1,1,2,3,2,2
47,2,2,1,1,2,3,2,2
48,2,2,1,1,2,3,2,2
49,2,2,1,1,2,3,2,2
50,2,2,1,1,2,3,2,2
51,2,2,1,1,2,3,2,2
52,2,2,1,1,2,3,2,2
53,2,2,0,1,1,2,2,2
54,2,2,0,1,1,2,2,2
55,2,2,0,0,1,2,2,2
56,2,2,0,0,1,2,2,2
57,2,2,0,0,1,2,2,2
58,2,2,0,0,1,2,2,2
59,2,2,0,0,1,2,2,2
60,2,2,0,0,1,2,2,2
61,2,2,0,0,2,4,2,2
62,2,2,0,0,2,4,2,2
63,2,2,0,0,2,4,2,2
64,1,2,0,0,1,4,2,2
65,1,2,0,0,1,4,2,2
66,1,2,0,0,1,4,1,2
67,1,3,1,0,2,5,1,3
68,2,3,1,1,2,5,2,3
69,2,3,1,1,2,5,2,3
70,2,3,1,1,2,5,2,3
71,2,3,1,1,2,5,2,3
72,2,3,1,1,2,5,2,3
73,2,3,1,1,2,5,2,3
74,2,3,1,1,2,5,2,3
75,2,3,1,1,2,5,2,3
76,2,3,1,1,2,5,2,3
77,2,3,1,1,2,5,2,3
78,2,3,1,1,2,5,2,3
79,2,3,1,1,2,5,2,3
80,2,3,1,1,2,5,2,3
81,2,3,1,1,2,5,2,3
82,2,3,1,1,1,5,2,3
83,2,3,1,1,1,5,2,3
84,2,3,0,1,0,0,2,3
85,2,3,0,1,0,0,2,3
86,2,3,0,0,0,0,2,3
87,2,3,0,0,0,0,2,3
88,2,3,0,0,0,0,2,3
89,2,3,0,0,0,0,2,3
90,2,3,0,0,0,0,2,3
91,2,3,0,0,1,6,2,3
92,2,3,0,0,1,6,2,3
93,2,3,0,0,1,6,2,3
94,2,3,0,0,1,6,2,3
95,2,3,0,0,1,6,2,3
96,2,3,0,0,1,6,2,3
97,2,3,0,0,1,6,2,3
98,2,3,0,0,1,6,2,3
99,1,3,0,0,1,6,1,3
100,1,3,0,0,1,6,1,3
