,frame_num,true_targets,dino_detects,dino_targets_in_queue,dino_targets_displayed
0,36,4,8,4,4
1,37,4,8,4,4
2,38,4,8,4,4
3,39,4,8,4,4
4,40,4,8,4,4
5,41,4,8,4,4
6,42,4,8,4,4
7,43,4,8,4,4
8,44,4,8,4,4
9,45,4,8,4,4
10,46,4,8,4,4
11,47,4,8,4,4
12,48,4,9,4,4
13,49,4,9,4,4
14,50,4,9,4,4
15,51,5,9,5,5
16,52,5,9,5,5
17,53,5,9,5,5
18,54,5,9,5,5
19,55,5,9,5,5
20,56,5,9,5,5
21,57,5,9,5,5
22,58,5,9,5,5
23,59,5,9,6,5
24,60,5,9,7,5
25,61,5,9,7,5
26,62,5,9,7,5
27,63,5,9,7,5
28,64,5,9,7,5
29,65,5,9,6,5
30,66,5,10,7,5
31,67,5,10,6,4
32,68,5,10,6,4
33,69,5,10,6,4
34,70,5,10,7,4
35,71,6,10,6,4
36,72,6,10,8,6
37,73,6,10,8,7
38,74,6,10,10,7
39,75,6,10,10,7
40,76,6,11,10,9
41,77,6,10,12,9
42,78,6,10,11,8
43,79,6,10,11,9
