,frame_num,true_targets,yolo_detects,yolo_targets_in_queue,yolo_targets_displayed
0,36,4,5,4,4
1,37,4,4,4,4
2,38,4,4,4,4
3,39,4,4,4,4
4,40,4,4,4,4
5,41,4,4,4,4
6,42,4,4,4,4
7,43,4,4,4,4
8,44,4,4,4,4
9,45,4,5,4,4
10,46,4,5,4,4
11,47,4,5,4,4
12,48,4,5,4,3
13,49,4,5,5,4
14,50,4,6,6,4
15,51,5,5,5,4
16,52,5,5,5,5
17,53,5,4,5,5
18,54,5,5,5,4
19,55,5,4,5,4
20,56,5,5,5,4
21,57,5,4,5,4
22,58,5,5,6,4
23,59,5,4,6,4
24,60,5,5,7,4
25,61,5,5,7,5
26,62,5,6,8,4
27,63,5,6,6,4
28,64,5,5,6,4
29,65,5,6,6,4
30,66,5,5,5,4
31,67,5,4,4,3
32,68,5,6,6,3
33,69,5,4,6,2
34,70,5,5,6,4
35,71,6,6,7,4
36,72,6,6,8,4
37,73,6,4,8,6
38,74,6,4,7,6
39,75,6,5,5,4
40,76,6,5,5,5
41,77,6,6,6,6
42,78,6,6,6,5
43,79,6,6,6,6
